id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
27010018,Artist Flat next to Schlesisches Tor/ Treptow,50434860,Francisco,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.496369149601044,13.444711956678864,Private room,48,3,0,,,2,34
27018117,Helle und ruhige Wohnung in Prenzlauer Berg,159964696,Jasmin,Pankow,Prenzlauer Berg Süd,52.53648633390139,13.427935632196144,Private room,70,4,0,,,1,
27019587,Lovely Room with Balcony in East Berlin,169857148,Enzo,Lichtenberg,Neu Lichtenberg,52.50858253383217,13.499616798068763,Private room,22,5,3,25/09/2018,0.86,1,3
27024365,Welcome on Weserstraße  - 3 Zimmer auf 100 qm,203016476,Cornelia,Neukölln,Rixdorf,52.47951085877312,13.446882069624026,Entire home/apt,70,7,0,,,2,2
27026258,"cozy room in a calm flatshare, Gesundbrunnen",90502349,Melike,Mitte,Osloer Straße,52.55642117149607,13.393979573895923,Private room,45,45,0,,,1,8
27048802,Privatzimmer in schöner EG Wohnung + Terrasse!,51331702,Julian,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.49932272100236,13.465415576035555,Private room,59,7,1,21/08/2018,0.38,1,6
27054905,charmante Altbauwhng. in Friedrichshain,33587771,Lina Yasmin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50937666027246,13.459655717072184,Private room,25,1,2,16/09/2018,0.63,1,
27061164,lovely room in the heart of east berlin,53670166,Christian,Neukölln,Rixdorf,52.48040376983012,13.441592472297458,Private room,24,4,2,30/08/2018,0.8,1,
27072352,"Zimmer in schöner, frisch sanierter Altbauwohnung",43426044,Johanna,Mitte,Parkviertel,52.54705405143514,13.345624283456749,Private room,25,10,0,,,1,22
27073537,spacious room with balcony // in lovely flatshare,19556851,Veza,Neukölln,Reuterstraße,52.48541146133309,13.433865473356343,Private room,45,3,2,28/07/2018,0.57,1,2
27076023,KlausvonDamerow,22711403,Marco,Pankow,Pankow Süd,52.57300292373404,13.422540489184184,Private room,40,1,1,02/09/2018,0.45,1,12
27095364,Lovely studio in Prenzlauer Berg w film projector,2054607,Dana,Pankow,Prenzlauer Berg Nord,52.544788009979385,13.440343517470314,Private room,55,3,1,08/08/2018,0.33,1,2
27096448,Großes helles Zimmer in Friedrichshain/Bright room,45068022,Eva,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.5082737224475,13.459871395753574,Private room,35,6,1,20/08/2018,0.37,1,1
27096611,Beautiful 2 room Apt with Balcony in Kreuzkolln,6993550,Rytis,Neukölln,Rixdorf,52.47969999062305,13.449062832725396,Entire home/apt,35,7,0,,,1,4
27098326,Fully renovated 1-bed Apartment in Prenzlauerberg,203939701,Laura,Pankow,Prenzlauer Berg Südwest,52.53877996546056,13.420820488829222,Entire home/apt,69,1,0,,,1,10
27100204,Penthouse in the heart of Berlin Mitte,3878579,David,Mitte,Brunnenstr. Süd,52.531935494765,13.396351726035741,Private room,80,2,1,08/08/2018,0.33,1,
27101004,Private Room in best Area of Berlin,132691240,A,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.52337589300864,13.454854043388163,Private room,25,2,2,02/09/2018,0.55,1,9
27104621,Berlin Wohnung,154966496,Emilie,Mitte,Osloer Straße,52.55226101830067,13.386145814080855,Private room,20,3,1,04/10/2018,0.86,1,
27107047,large sunny room in Kreuzberg,165214661,Manuel,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49020175431452,13.417418596794539,Private room,35,2,2,28/10/2018,0.73,1,2
27110991,Modern flat in the heart of Friedrichshain,66602341,Fathy,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51049421240134,13.458725977741901,Private room,60,2,3,14/09/2018,0.86,1,
27120976,Cosy room in berlin wedding,141101488,Marlies,Mitte,Brunnenstr. Nord,52.54696005964628,13.38143292614835,Private room,28,15,1,16/08/2018,0.36,1,1
27121221,Charming Private Room with Balcony next to Ku'damm,19697534,Katharina,Charlottenburg-Wilm.,Halensee,52.50029971235398,13.293382349824187,Private room,35,5,2,06/09/2018,0.74,2,
27122130,Perfect for Families & Business: Berlin Waterfront,2794132,Niklas,Mitte,Alexanderplatz,52.510928395889174,13.424038493893919,Entire home/apt,150,20,0,,,1,
27122179,Brecht ll,56165003,Fiete,Pankow,Prenzlauer Berg Süd,52.53353425920328,13.430090215656191,Entire home/apt,100,2,0,,,1,27
27122800,3 months min stay in 1 bdrm in Prenzlauer Berg,163384,Alan & Kasia,Pankow,Prenzlauer Berg Nord,52.54719632916269,13.425014367025385,Entire home/apt,80,84,0,,,10,31
27123778,"Cozy room am Maybachufer, Kreuzberg",3147317,Mar,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.493895037441476,13.420178417108781,Private room,45,3,1,03/09/2018,0.45,1,1
27129289,Designer flat with terrace in top location+Parking,92980942,Natalia,Mitte,Regierungsviertel,52.507953532731044,13.377801574847657,Entire home/apt,120,3,1,30/09/2018,0.77,1,
27136313,Sehr schönes WG Zimmer in Moabit/Mitte,201741200,Youssef,Mitte,Moabit Ost,52.53174138619281,13.34826248488401,Private room,50,2,1,07/08/2018,0.32,1,
27152506,Large room in central rooftop flat Friedrichshain,1211681,Farhad,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.509293323820245,13.453465984777495,Private room,80,3,0,,,2,
27152694,Sonnige Wohnung im Herzen von Berlin,5183716,Charoline,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.514304538046666,13.453512860925269,Entire home/apt,70,4,2,12/08/2018,0.64,1,
27153586,Altbau-Feeling in Kreuzberg,23053909,Christiane,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.496567909948254,13.38078766168936,Private room,25,1,0,,,2,9
27155697,Cute little place in Berlin,3838260,Julia,Tempelhof - Schöneberg,Schöneberg-Nord,52.4956331392269,13.351403128348606,Private room,50,2,2,18/09/2018,0.79,1,4
27155955,Tiergarten LOFT - Stylisch und Zentral,204444861,Michael Alexander,Mitte,Moabit Ost,52.52969977832649,13.363806161993013,Private room,129,3,1,15/08/2018,0.35,2,17
27156615,Gemütliches Privatzimmer im Herzen von Berlin,203313206,Margret,Mitte,Osloer Straße,52.55664333517843,13.377715386098131,Private room,46,3,0,,,5,6
27156670,Bright room with private balcony,34602781,Christian,Mitte,Brunnenstr. Nord,52.5429122283561,13.370796476303877,Private room,27,3,2,21/09/2018,0.64,3,3
27158594,Berlin Köpenickerstraße,204463213,Guus,Mitte,Alexanderplatz,52.50995937809386,13.425456139380888,Private room,19,6,2,05/08/2018,0.62,1,12
27160734,Bestlage/Kreuzberg,10789271,Nico,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.490369780434214,13.415323997317781,Entire home/apt,60,2,2,19/09/2018,0.73,1,12
27161103,Bright and cosy room close to Warschauer Straße,70018349,Jule,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.513786461246134,13.453428028914722,Private room,28,1,1,19/08/2018,0.37,1,
27164195,Bright and Sweet room,202545022,Francesca,Tempelhof - Schöneberg,Schöneberg-Nord,52.49058739942028,13.368195394246408,Private room,80,10,2,28/08/2018,0.83,1,27
27165416,"Cosy, quiet apartment near Weserstr",177815391,Lara,Neukölln,Reuterstraße,52.48535327693361,13.439330705145949,Entire home/apt,45,4,0,,,1,3
27165778,Big 34 m² room in Neukölln near Tempelhofer Feld,32242915,Lukas,Neukölln,Neuköllner Mitte/Zentrum,52.47163438394443,13.432662216911165,Private room,45,5,2,21/09/2018,0.68,1,
27166396,Entire apartment for you in Berlin City Center,164660293,C,Mitte,Alexanderplatz,52.524448691039055,13.418297420349239,Entire home/apt,51,90,0,,,1,34
27166964,Privatzimmer im Wedding,203313206,Margret,Mitte,Osloer Straße,52.556903611785785,13.3784545465263,Private room,55,2,0,,,5,33
27179382,Charming room in Kreuzberg,7595030,Alice,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.489717452644264,13.376107360195299,Private room,45,10,1,24/07/2018,0.28,1,
27180818,großzügige Altbauwohnung im <3 Prenzlauer Bergs,26044774,Julie,Pankow,Helmholtzplatz,52.541704965845405,13.413490990201003,Private room,80,3,0,,,1,
27183261,Room with bunkbeds in Kreuzberg,181441777,Freiraum Hostel,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49779426492785,13.427757710536842,Private room,140,1,2,11/08/2018,0.59,7,36
27188618,Quiet room in Berlin-Schöneberg near U7,84842965,Paul,Tempelhof - Schöneberg,Schöneberg-Nord,52.49219900236905,13.346232098703592,Private room,40,4,1,13/08/2018,0.34,1,12
27188822,Cozy apartment for 2 in beautiful Prenzlauer Berg,78661745,Hannah,Pankow,Helmholtzplatz,52.54143199962202,13.42066878160339,Entire home/apt,70,2,0,,,1,1
27191782,Gemütliche Altbauwohnung für 2 in Kreuzberg,33363675,Nastassja,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48659539927819,13.375302287330877,Entire home/apt,50,5,1,28/08/2018,0.42,1,
27196600,Big cozy room for 2 in Prenzlauerberg,8046600,Merel,Pankow,Prenzlauer Berg Ost,52.53553439548523,13.434769878384783,Private room,45,3,0,,,1,
27196792,Loft in Berlin - Prenzlauerberg,204797916,Geraldine,Pankow,Helmholtzplatz,52.541476750115415,13.415080570491297,Private room,60,1,0,,,1,17
27197829,Ferienhaus am Krossinsee,39574419,Birgit,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.36870848533902,13.691156717642691,Entire home/apt,110,1,0,,,2,28
27210317,Modern and Central Apartment in Prenzlauer Berg,204921409,Julian,Pankow,Prenzlauer Berg Nordwest,52.5531476467935,13.399746253658424,Entire home/apt,65,3,1,18/08/2018,0.37,1,7
27215171,roomy Kiezzimmer next to tempelhofer Feld,73542883,Jakob,Neukölln,Schillerpromenade,52.469072288475935,13.426165610943968,Private room,30,2,0,,,1,1
27215964,Nice and quite room in the heart of Berlin!,33140698,Taissa,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49070359949407,13.412551396899904,Private room,48,2,2,25/10/2018,0.61,3,1
27223733,"Cozy central room. 2 Minutes to Metro, transit bus",7013887,Matteo,Mitte,Moabit West,52.52513388104622,13.338620816251888,Private room,25,1,2,03/08/2018,0.6,1,
27224994,Huge and cozy room with private balcony,46953390,Bianca,Lichtenberg,Neu Lichtenberg,52.50166466333642,13.49461796422047,Private room,19,1,1,19/08/2018,0.37,1,
27226133,Private room with view Friedrichshain,192439967,Tan,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.51449514204642,13.438907104647141,Private room,15,30,1,26/08/2018,0.41,1,12
27227628,Nice and cosy 1 room apartment in Berlin,205049345,Jenny,Lichtenberg,Fennpfuhl,52.52342451637506,13.480381366689631,Entire home/apt,49,2,0,,,1,
27229957,Privatzimmer im Herzen von Berlin- klein aber fein,203313206,Margret,Mitte,Wedding Zentrum,52.555862867507614,13.379323261230116,Private room,45,2,0,,,5,18
27232725,"Cozy, sunny room with a balcony near SXF airport",27669358,Melanie,Treptow - Köpenick,Adlershof,52.435893435779334,13.555487308729424,Private room,35,1,1,01/09/2018,0.44,3,
27241757,Berlin Wohnung,34733563,Anna,Tempelhof - Schöneberg,Schöneberg-Nord,52.48846524135393,13.37056462058149,Entire home/apt,69,7,2,19/08/2018,0.61,1,12
27241816,Nice Room in Berlin,50897882,Laura,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.509025077410286,13.460920356858601,Private room,20,1,0,,,1,3
27244206,Wohnung am kielufer mit Sicht auf den Kanal,65640956,Marlon,Neukölln,Reuterstraße,52.48712629479204,13.444370101116778,Private room,38,20,0,,,2,8
27245506,Traumwohnung mit Garten  im Herzen von Neukölln,21131048,Hannah,Neukölln,Schillerpromenade,52.47541071411818,13.426008805238483,Private room,53,2,0,,,1,3
27245758,Deine Unterkunft im pulsierenden Kreuzberg,71639347,Philipp,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.498611739974194,13.447038534708092,Entire home/apt,50,7,1,06/09/2018,0.48,1,1
27246476,Großes helles Altbau-Zimmer in Schöneberg,24574957,Cora,Tempelhof - Schöneberg,Friedenau,52.47618093402283,13.325258518638568,Private room,35,7,0,,,1,10
27246695,Quiet Apartment all in Pankow Flora Kiez,1285017,Katrin,Pankow,Pankow Zentrum,52.562399621121685,13.399544701238193,Entire home/apt,54,2,2,01/09/2018,0.82,3,3
27246977,Sunny room in 130m² apartment right at the Spree,8327537,Alexandra,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.49832625624557,13.45838940937283,Private room,50,2,0,,,1,3
27248669,Frisch renovierter Berliner Hinterhofcharme,123920306,Stefan,Neukölln,Reuterstraße,52.490313143777655,13.42504846181216,Entire home/apt,120,5,3,12/09/2018,0.91,1,5
27256858,90qm Oase der Ruhe mitten im Herzen der Stadt,203495674,Ebru,Mitte,Brunnenstr. Nord,52.54404710146347,13.398922665785888,Entire home/apt,129,2,0,,,1,31
27265461,Двухкомнатна�? квартира на Штаакенер (24.2),52747435,Asel,Spandau,Wilhelmstadt,52.53534126643958,13.184111522673145,Entire home/apt,39,30,0,,,17,28
27270527,1 Room Apartment in the Middle of Berlin,101543808,Sami,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50438068161829,13.377376692076044,Entire home/apt,55,1,3,19/09/2018,0.91,1,
27273659,Roof with a view.,15107543,Angela,Lichtenberg,Neu Lichtenberg,52.50097293328902,13.490853180973751,Private room,29,2,1,06/08/2018,0.32,1,
